param 0-univ-count,param 1-n,param kind,param n,abstract-regression-quadratic real,abstract-regression-quadratic sys,abstract-regression-quadratic user,close-abstract-regression-quadratic real,close-abstract-regression-quadratic sys,close-abstract-regression-quadratic user,exact-regression-linear real,exact-regression-linear sys,exact-regression-linear user,pattern-regression-linear real,pattern-regression-linear sys,pattern-regression-linear user
1,0,n_polymorphic_universes,,0.,0.,0.,0.,0.,0.,0.,0.,0.,,,
2,1,n_polymorphic_universes,,0.,0.,0.,0.,0.,0.,0.,0.,0.,,,
4,2,n_polymorphic_universes,,0.,0.,0.,0.,0.,0.,0.,0.,0.,,,
8,3,n_polymorphic_universes,,0.,0.,0.,0.,0.,0.,0.,0.,0.,,,
16,4,n_polymorphic_universes,,0.,0.,0.,0.002,0.,0.002,0.,0.,0.,,,
32,5,n_polymorphic_universes,,0.,0.,0.,0.003,0.001,0.001,0.001,0.001,0.,,,
64,6,n_polymorphic_universes,,0.,0.,0.,0.007,0.004,0.002,0.003,0.,0.003,,,
128,7,n_polymorphic_universes,,0.,0.,0.,0.07,0.003,0.066,0.006,0.002,0.003,,,
256,8,n_polymorphic_universes,,0.,0.,0.,0.037,0.,0.037,0.008,0.,0.008,,,
512,9,n_polymorphic_universes,,0.,0.,0.,0.065,0.,0.065,0.02,0.,0.02,,,
1024,10,n_polymorphic_universes,,0.,0.,0.,0.175,0.,0.175,0.037,0.,0.037,,,
2048,11,n_polymorphic_universes,,0.,0.,0.,0.65,0.011,0.638,0.095,0.,0.095,,,
4096,12,n_polymorphic_universes,,0.,0.,0.,2.371,0.024,2.345,0.203,0.003,0.2,,,
8192,13,n_polymorphic_universes,,0.,0.,0.,8.459,0.015,8.442,0.436,0.016,0.419,,,
16384,14,n_polymorphic_universes,,0.,0.,0.,30.107,0.036,30.045,0.825,0.02,0.805,,,
,,pattern,1,,,,,,,,,,0.,0.,0.
,,pattern,2,,,,,,,,,,0.,0.,0.
,,pattern,3,,,,,,,,,,0.,0.,0.
,,pattern,4,,,,,,,,,,0.,0.,0.
,,pattern,5,,,,,,,,,,0.,0.,0.
,,pattern,6,,,,,,,,,,0.,0.,0.
,,pattern,7,,,,,,,,,,0.,0.,0.
,,pattern,8,,,,,,,,,,0.,0.,0.
,,pattern,9,,,,,,,,,,0.,0.,0.
,,pattern,10,,,,,,,,,,0.,0.,0.
,,pattern,11,,,,,,,,,,0.,0.,0.
,,pattern,12,,,,,,,,,,0.,0.,0.
,,pattern,13,,,,,,,,,,0.,0.,0.
,,pattern,14,,,,,,,,,,0.,0.,0.
,,pattern,15,,,,,,,,,,0.,0.,0.
,,pattern,16,,,,,,,,,,0.001,0.,0.001
,,pattern,17,,,,,,,,,,0.001,0.,0.001
,,pattern,18,,,,,,,,,,0.,0.,0.
,,pattern,19,,,,,,,,,,0.001,0.,0.001
,,pattern,20,,,,,,,,,,0.001,0.,0.001
,,pattern,21,,,,,,,,,,0.,0.,0.
,,pattern,22,,,,,,,,,,0.,0.,0.
,,pattern,23,,,,,,,,,,0.,0.,0.
,,pattern,24,,,,,,,,,,0.,0.,0.
,,pattern,25,,,,,,,,,,0.,0.,0.
,,pattern,26,,,,,,,,,,0.,0.,0.
,,pattern,27,,,,,,,,,,0.,0.,0.
,,pattern,28,,,,,,,,,,0.,0.,0.
,,pattern,29,,,,,,,,,,0.,0.,0.
,,pattern,30,,,,,,,,,,0.,0.,0.
,,pattern,31,,,,,,,,,,0.,0.,0.
,,pattern,32,,,,,,,,,,0.,0.,0.
,,pattern,33,,,,,,,,,,0.,0.,0.
,,pattern,34,,,,,,,,,,0.,0.,0.
,,pattern,35,,,,,,,,,,0.,0.,0.
,,pattern,36,,,,,,,,,,0.,0.,0.
,,pattern,37,,,,,,,,,,0.,0.,0.
,,pattern,38,,,,,,,,,,0.,0.,0.
,,pattern,39,,,,,,,,,,0.,0.,0.
,,pattern,40,,,,,,,,,,0.,0.,0.
,,pattern,41,,,,,,,,,,0.,0.,0.
,,pattern,42,,,,,,,,,,0.,0.,0.
,,pattern,43,,,,,,,,,,0.,0.,0.
,,pattern,44,,,,,,,,,,0.,0.,0.
,,pattern,45,,,,,,,,,,0.,0.,0.
,,pattern,46,,,,,,,,,,0.,0.,0.
,,pattern,47,,,,,,,,,,0.001,0.,0.001
,,pattern,48,,,,,,,,,,0.001,0.,0.001
,,pattern,49,,,,,,,,,,0.,0.,0.
,,pattern,50,,,,,,,,,,0.001,0.,0.001
,,pattern,51,,,,,,,,,,0.,0.,0.
,,pattern,52,,,,,,,,,,0.001,0.,0.001
,,pattern,53,,,,,,,,,,0.,0.,0.
,,pattern,54,,,,,,,,,,0.,0.,0.
,,pattern,55,,,,,,,,,,0.001,0.,0.001
,,pattern,56,,,,,,,,,,0.002,0.,0.002
