param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user noop-try-setoid-rewrite-regression-cubic-real noop-try-setoid-rewrite-regression-cubic-sys noop-try-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1 0.003 0.003 0. 0. 0. 0. 0.001 0. 0. 0.001 0.001 0. 0.003 0.003 0. 0.002 0.002 0.
2 0.004 0.001 0.003 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.004 0. 0.004 0.003 0. 0.003
10 0.022 0.004 0.018 0.005 0. 0.005 0.065 0.007 0.058 0.007 0. 0.007 0.022 0.008 0.013 0.016 0.004 0.012
20 0.103 0.007 0.096 0.011 0. 0.011 0.014 0. 0.014 0.02 0.003 0.016 0.042 0. 0.042 0.091 0.007 0.083
30 0.085 0. 0.085 0.023 0. 0.023 0.035 0. 0.035 0.096 0.004 0.092 0.099 0. 0.099 0.062 0. 0.061
40 0.157 0.003 0.154 0.04 0. 0.04 0.072 0. 0.072 0.07 0. 0.07 0.197 0. 0.197 0.117 0.003 0.113
50 0.308 0.032 0.276 0.054 0. 0.053 0.128 0. 0.128 0.185 0.016 0.169 0.39 0.029 0.361 0.254 0.031 0.222
60 0.381 0. 0.381 0.085 0. 0.085 0.213 0. 0.213 0.206 0. 0.206 0.534 0. 0.534 0.295 0. 0.295
70 0.541 0. 0.541 0.106 0. 0.106 0.307 0. 0.307 0.303 0. 0.303 0.772 0. 0.772 0.435 0. 0.435
80 0.78 0.004 0.776 0.136 0. 0.136 0.459 0. 0.459 0.447 0. 0.447 1.072 0. 1.07 0.643 0.004 0.639
90 1.034 0. 1.034 0.188 0. 0.188 0.656 0.003 0.653 0.625 0. 0.624 1.452 0. 1.452 0.845 0. 0.845
100 1.289 0. 1.289 0.2 0. 0.2 0.871 0. 0.871 0.86 0. 0.859 2.018 0.003 2.014 1.089 0. 1.089
110 1.659 0.003 1.655 0.248 0. 0.247 1.155 0. 1.154 1.091 0.003 1.088 2.563 0. 2.562 1.411 0.003 1.407
120 2.002 0.004 1.996 0.279 0. 0.279 1.53 0. 1.529 1.415 0.004 1.411 3.255 0.004 3.25 1.721 0.004 1.716
130 2.459 0.003 2.455 0.322 0. 0.322 1.856 0. 1.856 1.811 0. 1.81 4.115 0.011 4.103 2.136 0.003 2.132
140 3.058 0.004 3.053 0.4 0. 0.4 2.288 0. 2.288 2.279 0. 2.278 5.009 0.007 5. 2.656 0.004 2.652
150 3.739 0.007 3.729 0.427 0.003 0.423 2.869 0. 2.868 2.781 0. 2.781 6.2 0. 6.199 3.31 0.003 3.305
160 4.487 0.003 4.483 0.517 0. 0.517 3.504 0.004 3.499 3.322 0. 3.322 7.398 0.012 7.384 3.969 0.003 3.964
170 5.173 0.007 5.164 0.547 0. 0.547 4.039 0. 4.038 4.028 0. 4.027 8.695 0.028 8.666 4.624 0.007 4.616
180 5.923 0.003 5.917 0.619 0. 0.619 4.695 0. 4.694 4.747 0. 4.746 10.087 0.007 10.077 5.303 0.003 5.297
190 6.969 0. 6.967 0.722 0. 0.722 5.596 0. 5.595 5.686 0. 5.685 11.941 0.008 11.931 6.245 0. 6.244
200 7.818 0.012 7.804 0.791 0.003 0.787 6.534 0. 6.533 6.6 0.007 6.591 13.801 0.011 13.786 7.026 0.008 7.016
210 9.39 0.012 9.376 0.846 0. 0.846 7.315 0.004 7.311 7.619 0. 7.618 15.816 0.004 15.81 8.542 0.012 8.529
220 10.429 0.012 10.415 0.927 0. 0.927 8.981 0.003 8.972 8.707 0. 8.705 17.989 0.008 17.978 9.501 0.012 9.487
230 11.86 0.011 11.843 1.044 0. 1.044 9.76 0.004 9.752 9.985 0. 9.984 20.806 0.004 20.796 10.814 0.011 10.799
240 13.354 0.004 13.347 1.105 0. 1.105 11.191 0.012 11.177 11.222 0.007 11.212 22.875 0.008 22.862 12.247 0.004 12.241
250 14.838 0. 14.835 1.182 0. 1.182 12.355 0.003 12.349 12.705 0.003 12.699 25.901 0.008 25.885 13.655 0. 13.652
300 25.725 0.008 25.709 1.709 0. 1.708 22.762 0.008 22.736 22.253 0.024 22.224 44.923 0.036 44.876 24.015 0.008 24.
400 57.855 0.04 57.801 2.968 0.004 2.963 53.977 0.016 53.946 53.083 0.036 53.037 107.47 0.044 107.397 54.885 0.036 54.835
