param-0-n param-1-lgn try-ssr-rewrite!-cold-noop-regression-linear-real try-ssr-rewrite!-cold-noop-regression-linear-sys try-ssr-rewrite!-cold-noop-regression-linear-user try-ssr-rewrite!-noop-regression-linear-real try-ssr-rewrite!-noop-regression-linear-sys try-ssr-rewrite!-noop-regression-linear-user try-ssr-rewrite-noop-regression-linear-real try-ssr-rewrite-noop-regression-linear-sys try-ssr-rewrite-noop-regression-linear-user try-ssr-rewrite?-noop-regression-linear-real try-ssr-rewrite?-noop-regression-linear-sys try-ssr-rewrite?-noop-regression-linear-user
3 1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
31 4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
63 5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
127 6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
255 7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
511 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1023 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2047 10 0.056 0.015 0.041 0. 0. 0. 0. 0. 0. 0. 0. 0.
4095 11 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
8191 12 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
16383 13 0.005 0. 0.005 0.005 0. 0.005 0.009 0. 0.009 0.005 0. 0.005
32767 14 0.011 0. 0.011 0.02 0. 0.02 0.011 0. 0.011 0.011 0. 0.011
65535 15 0.022 0. 0.022 0.038 0. 0.038 0.022 0. 0.022 0.024 0. 0.024
131071 16 0.14 0.003 0.136 0.046 0. 0.045 0.045 0. 0.045 0.044 0. 0.044
262143 17 0.141 0. 0.141 0.111 0. 0.111 0.093 0. 0.093 0.096 0. 0.096
524287 18 0.23 0.003 0.227 0.199 0. 0.199 0.202 0. 0.202 0.201 0. 0.201
1048575 19 0.562 0. 0.562 0.403 0. 0.403 0.406 0. 0.405 0.398 0. 0.398
2097151 20 1.397 0. 1.397 0.826 0. 0.826 0.822 0. 0.822 0.816 0. 0.816
4194303 21 2.139 0. 2.139 1.633 0. 1.633 1.634 0. 1.634 1.638 0. 1.638
8388607 22 3.391 0. 3.391 3.206 0. 3.206 3.216 0. 3.216 3.216 0. 3.216
