param-0-univ-count param-1-n abstract-real abstract-sys abstract-user close-abstract-real close-abstract-sys close-abstract-user exact-real exact-sys exact-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 2 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
8 3 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
16 4 0.002 0.001 0. 0. 0. 0. 0. 0. 0.
32 5 0.005 0.003 0.002 0. 0. 0. 0.001 0.001 0.
64 6 0.011 0.003 0.007 0. 0. 0. 0.003 0.003 0.
128 7 0.069 0.02 0.048 0. 0. 0. 0.007 0.003 0.003
256 8 0.039 0. 0.039 0. 0. 0. 0.01 0. 0.01
512 9 0.106 0.003 0.102 0. 0. 0. 0.021 0. 0.021
1024 10 0.227 0. 0.226 0. 0. 0. 0.044 0. 0.044
2048 11 0.822 0.008 0.814 0. 0. 0. 0.115 0.003 0.112
4096 12 2.724 0.007 2.715 0. 0. 0. 0.23 0.003 0.226
8192 13 9.318 0.028 9.288 0. 0. 0. 0.46 0.008 0.452
16384 14 32.637 0.044 32.582 0. 0. 0. 0.943 0.011 0.931
