param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001
2 0.001 0. 0. 0.001 0.001 0. 0.001 0.001 0.
10 0.006 0.002 0.003 0.006 0. 0.006 0.007 0.003 0.003
20 0.013 0. 0.012 0.069 0.028 0.04 0.021 0.004 0.017
30 0.034 0. 0.034 0.035 0. 0.035 0.033 0. 0.033
40 0.066 0. 0.066 0.067 0. 0.067 0.07 0. 0.07
50 0.128 0. 0.128 0.125 0. 0.125 0.186 0.016 0.17
60 0.202 0. 0.202 0.199 0. 0.199 0.208 0. 0.208
70 0.306 0. 0.306 0.31 0. 0.31 0.309 0. 0.309
80 0.472 0. 0.472 0.476 0. 0.476 0.457 0. 0.457
90 0.634 0. 0.634 0.667 0. 0.666 0.644 0. 0.643
100 0.872 0. 0.87 0.853 0. 0.853 0.864 0. 0.864
110 1.14 0. 1.14 1.129 0. 1.129 1.127 0. 1.127
120 1.492 0. 1.492 1.444 0. 1.444 1.459 0. 1.459
130 1.858 0. 1.858 1.846 0. 1.845 1.865 0. 1.865
140 2.295 0. 2.294 2.294 0. 2.294 2.341 0. 2.34
150 2.81 0. 2.81 2.836 0. 2.836 2.85 0. 2.85
160 3.453 0. 3.453 3.424 0. 3.423 3.428 0. 3.427
170 4.134 0. 4.134 4.132 0. 4.131 4.132 0. 4.131
180 4.839 0. 4.838 4.856 0. 4.855 5.022 0. 5.022
190 5.692 0. 5.692 5.783 0.003 5.778 5.731 0. 5.73
200 6.655 0. 6.654 6.643 0.002 6.64 6.662 0. 6.659
