param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
50 0.011 0.007 0.003 0.011 0.007 0.003 0.002 0. 0.001
100 0.025 0.009 0.016 0.025 0.009 0.016 0.001 0. 0.
150 0.087 0.013 0.073 0.087 0.013 0.073 0.001 0. 0.001
200 0.078 0. 0.078 0.078 0. 0.078 0.002 0. 0.002
250 0.107 0.007 0.1 0.107 0.007 0.1 0.003 0. 0.003
300 0.149 0.004 0.144 0.149 0.004 0.144 0.003 0. 0.002
350 0.168 0. 0.168 0.168 0. 0.168 0.003 0. 0.003
400 0.182 0.003 0.179 0.182 0.003 0.179 0.004 0. 0.004
