param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-quadratic-real reify-regression-quadratic-sys reify-regression-quadratic-user
1 0. 0. 0. 0.001 0. 0.001
2 0. 0. 0. 0.003 0. 0.003
3 0. 0. 0. 0.005 0.003 0.002
4 0. 0. 0. 0.007 0.003 0.003
5 0. 0. 0. 0.009 0.004 0.004
6 0. 0. 0. 0.011 0.002 0.008
7 0. 0. 0. 0.015 0.007 0.007
8 0. 0. 0. 0.064 0.004 0.06
9 0. 0. 0. 0.013 0. 0.013
10 0. 0. 0. 0.017 0. 0.017
11 0. 0. 0. 0.018 0. 0.018
12 0. 0. 0. 0.023 0. 0.023
13 0. 0. 0. 0.024 0. 0.024
14 0. 0. 0. 0.028 0. 0.028
15 0. 0. 0. 0.034 0. 0.034
16 0. 0. 0. 0.036 0. 0.036
17 0. 0. 0. 0.04 0. 0.04
18 0. 0. 0. 0.045 0. 0.045
19 0. 0. 0. 0.047 0. 0.047
20 0. 0. 0. 0.053 0. 0.053
21 0.001 0. 0.001 0.063 0. 0.063
22 0. 0. 0. 0.069 0. 0.069
23 0.001 0. 0.001 0.077 0. 0.077
24 0.001 0. 0.001 0.08 0. 0.08
25 0.001 0. 0.001 0.091 0. 0.091
26 0.001 0. 0.001 0.1 0. 0.1
27 0.001 0. 0.001 0.114 0.003 0.111
28 0.001 0. 0.001 0.116 0. 0.116
29 0.001 0. 0.001 0.126 0. 0.126
30 0.001 0. 0.001 0.131 0. 0.131
31 0.001 0. 0.001 0.147 0.003 0.143
32 0.001 0. 0.001 0.173 0. 0.172
33 0.001 0. 0.001 0.173 0. 0.173
34 0.009 0. 0.008 0.192 0.004 0.188
35 0.001 0. 0.001 0.203 0.011 0.19
36 0.001 0. 0.001 0.204 0.003 0.201
37 0.001 0. 0.001 0.228 0. 0.228
38 0.001 0. 0.001 0.245 0. 0.245
39 0.001 0. 0.001 0.248 0. 0.247
40 0.001 0. 0.001 0.28 0.003 0.276
41 0.001 0. 0.001 0.273 0. 0.273
42 0.001 0. 0.001 0.304 0. 0.304
43 0.002 0. 0.002 0.322 0. 0.322
44 0.001 0. 0.001 0.339 0. 0.339
45 0.001 0. 0.001 0.351 0.003 0.348
46 0.001 0. 0.001 0.375 0.003 0.371
47 0.001 0. 0.001 0.393 0. 0.392
48 0.002 0. 0.002 0.426 0. 0.426
49 0.001 0. 0.001 0.449 0. 0.449
50 0.002 0. 0.002 0.483 0.003 0.479
51 0.002 0. 0.002 0.505 0. 0.505
52 0.002 0. 0.002 0.522 0. 0.521
53 0.002 0. 0.002 0.576 0.003 0.572
54 0.002 0. 0.002 0.57 0.003 0.566
55 0.002 0. 0.002 0.607 0. 0.607
56 0.002 0. 0.002 0.637 0. 0.637
57 0.002 0. 0.002 0.66 0. 0.66
58 0.003 0. 0.003 0.695 0. 0.695
59 0.002 0. 0.002 0.723 0. 0.723
60 0.002 0. 0.002 0.754 0. 0.753
61 0.003 0. 0.003 0.802 0. 0.802
62 0.002 0. 0.002 0.874 0. 0.873
63 0.003 0. 0.003 0.893 0. 0.893
64 0.002 0. 0.002 0.929 0.003 0.925
65 0.002 0. 0.002 0.961 0. 0.961
66 0.002 0. 0.002 0.982 0.003 0.978
67 0.004 0. 0.004 1.027 0.003 1.023
68 0.002 0. 0.002 1.066 0.011 1.054
69 0.002 0. 0.002 1.103 0. 1.103
70 0.002 0. 0.002 1.159 0.003 1.155
71 0.002 0. 0.002 1.236 0. 1.236
72 0.002 0. 0.002 1.281 0. 1.281
73 0.002 0. 0.002 1.362 0. 1.362
74 0.002 0. 0.002 1.378 0. 1.378
75 0.002 0. 0.002 1.425 0. 1.424
76 0.002 0. 0.002 1.524 0. 1.523
77 0.002 0. 0.002 1.559 0. 1.559
78 0.003 0. 0.003 1.607 0. 1.607
79 0.003 0. 0.003 1.679 0. 1.679
80 0.003 0. 0.003 1.763 0. 1.763
81 0.003 0. 0.003 1.84 0. 1.835
82 0.007 0. 0.007 1.996 0. 1.995
83 0.003 0. 0.003 2.002 0. 2.002
84 0.003 0. 0.003 2.055 0. 2.055
85 0.003 0. 0.003 2.074 0. 2.073
86 0.003 0. 0.003 2.181 0. 2.181
87 0.003 0. 0.003 2.298 0.003 2.294
88 0.003 0. 0.003 2.322 0. 2.321
89 0.003 0. 0.003 2.387 0.004 2.383
90 0.003 0. 0.003 2.468 0. 2.468
91 0.004 0. 0.004 2.621 0.003 2.616
92 0.003 0. 0.003 2.733 0. 2.732
93 0.003 0. 0.003 2.759 0. 2.759
94 0.003 0. 0.003 2.901 0. 2.901
95 0.003 0. 0.003 2.965 0. 2.965
96 0.003 0. 0.003 3.124 0. 3.123
97 0.003 0. 0.003 3.181 0. 3.18
98 0.003 0. 0.003 3.252 0. 3.251
99 0.003 0. 0.003 3.384 0. 3.383
100 0.003 0. 0.003 3.467 0. 3.466
110 0.004 0. 0.003 5.007 0.037 4.968
120 0.004 0. 0.004 6.226 0.003 6.221
130 0.004 0. 0.004 8.246 0.015 8.229
140 0.005 0. 0.005 10.453 0.023 10.426
150 0.005 0. 0.005 13.054 0.007 13.044
160 0.005 0. 0.005 16.324 0.004 16.318
170 0.006 0. 0.006 20.265 0.004 20.257
180 0.006 0. 0.006 24.492 0.003 24.484
190 0.006 0. 0.006 29.702 0. 29.699
200 0.007 0. 0.007 35.2 0.007 35.187
