param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-quadratic-real reify-regression-quadratic-sys reify-regression-quadratic-user
1 0. 0. 0. 0.003 0. 0.003
2 0.001 0. 0. 0.005 0.003 0.001
3 0.001 0. 0.001 0.007 0. 0.007
4 0.001 0. 0.001 0.009 0.004 0.004
5 0.001 0. 0.001 0.012 0.003 0.008
6 0.001 0. 0. 0.016 0.004 0.012
7 0.001 0. 0. 0.064 0.008 0.056
8 0.001 0. 0.001 0.017 0. 0.016
9 0.001 0. 0.001 0.017 0. 0.017
10 0.001 0. 0.001 0.02 0. 0.02
11 0.001 0. 0.001 0.023 0. 0.023
12 0.001 0. 0.001 0.024 0. 0.024
13 0.001 0. 0.001 0.028 0. 0.028
14 0.001 0. 0.001 0.033 0. 0.033
15 0.001 0. 0.001 0.035 0. 0.035
16 0.002 0. 0.002 0.04 0. 0.04
17 0.002 0. 0.002 0.045 0. 0.045
18 0.002 0. 0.002 0.045 0. 0.045
19 0.002 0. 0.002 0.052 0. 0.052
20 0.002 0. 0.002 0.058 0. 0.058
21 0.002 0. 0.002 0.057 0. 0.057
22 0.002 0. 0.002 0.068 0. 0.068
23 0.002 0. 0.002 0.07 0. 0.07
24 0.002 0. 0.002 0.08 0. 0.08
25 0.002 0. 0.002 0.081 0. 0.081
26 0.002 0. 0.002 0.085 0. 0.085
27 0.002 0. 0.002 0.092 0.003 0.089
28 0.002 0. 0.002 0.101 0. 0.101
29 0.003 0. 0.003 0.107 0. 0.107
30 0.003 0. 0.003 0.113 0. 0.113
31 0.003 0. 0.003 0.126 0. 0.126
32 0.006 0. 0.006 0.134 0. 0.134
33 0.003 0. 0.003 0.139 0. 0.139
34 0.003 0. 0.003 0.147 0. 0.147
35 0.003 0. 0.003 0.151 0.003 0.147
36 0.003 0. 0.003 0.157 0. 0.157
37 0.003 0. 0.003 0.175 0.004 0.171
38 0.003 0. 0.003 0.19 0. 0.188
39 0.003 0. 0.003 0.198 0.003 0.194
40 0.004 0. 0.004 0.219 0. 0.219
41 0.004 0. 0.004 0.221 0. 0.221
42 0.003 0. 0.003 0.222 0.003 0.218
43 0.004 0. 0.004 0.229 0.003 0.225
44 0.008 0. 0.008 0.242 0.008 0.233
45 0.004 0. 0.004 0.25 0. 0.25
46 0.005 0. 0.004 0.276 0. 0.275
47 0.004 0. 0.004 0.274 0. 0.274
48 0.004 0. 0.004 0.285 0. 0.285
49 0.004 0. 0.004 0.308 0. 0.308
50 0.005 0. 0.005 0.317 0. 0.317
51 0.004 0. 0.004 0.339 0. 0.339
52 0.004 0. 0.004 0.358 0. 0.358
53 0.004 0. 0.004 0.368 0.007 0.36
54 0.018 0. 0.018 0.385 0.003 0.381
55 0.005 0. 0.004 0.382 0.003 0.378
56 0.005 0. 0.005 0.397 0.003 0.393
57 0.005 0. 0.005 0.416 0.008 0.407
58 0.005 0. 0.005 0.441 0. 0.441
59 0.005 0. 0.005 0.56 0. 0.559
60 0.005 0. 0.005 0.459 0. 0.459
61 0.005 0. 0.005 0.489 0. 0.489
62 0.005 0. 0.005 0.506 0. 0.505
63 0.006 0. 0.006 0.523 0. 0.523
64 0.005 0. 0.005 0.539 0. 0.539
65 0.005 0. 0.005 0.563 0. 0.563
66 0.005 0. 0.005 0.573 0. 0.573
67 0.005 0. 0.005 0.589 0. 0.589
68 0.006 0. 0.006 0.601 0.003 0.597
69 0.01 0. 0.01 0.616 0. 0.615
70 0.006 0. 0.006 0.647 0. 0.647
71 0.006 0. 0.006 0.697 0.004 0.693
72 0.006 0. 0.006 0.699 0. 0.699
73 0.006 0. 0.006 0.719 0. 0.719
74 0.006 0. 0.006 0.722 0. 0.722
75 0.006 0. 0.006 0.745 0. 0.745
76 0.007 0. 0.007 0.758 0. 0.757
77 0.006 0. 0.006 0.794 0.003 0.79
78 0.006 0. 0.006 0.817 0. 0.816
79 0.007 0. 0.007 0.867 0. 0.867
