param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0. 0. 0. 0.001 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 3 0. 0. 0. 0.001 0. 0. 0. 0. 0.
16 4 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.
32 5 0. 0. 0. 0.004 0.003 0.001 0.002 0. 0.001
64 6 0. 0. 0. 0.008 0. 0.008 0.004 0. 0.004
128 7 0. 0. 0. 0.074 0.007 0.067 0.008 0.004 0.004
256 8 0. 0. 0. 0.033 0. 0.033 0.013 0. 0.013
512 9 0. 0. 0. 0.098 0. 0.098 0.033 0. 0.033
1024 10 0. 0. 0. 0.206 0. 0.206 0.045 0. 0.045
2048 11 0. 0. 0. 0.871 0.022 0.848 0.118 0. 0.118
4096 12 0. 0. 0. 2.996 0.007 2.988 0.297 0.008 0.288
8192 13 0. 0. 0. 10.155 0.019 10.117 0.57 0.019 0.55
16384 14 0. 0. 0. 37.144 0.08 37.051 1.011 0.02 0.991
