param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
0 0.004 0. 0.004 0.003 0.001 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0.001 0.001
1 0.008 0.004 0.004 0.007 0.004 0.002 0. 0. 0. 0.001 0.001 0. 0.001 0. 0.001 0. 0. 0. 0.006 0.003 0.002 0.005 0.003 0.002
2 0.013 0.004 0.009 0.012 0.002 0.01 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.011 0.004 0.007 0.009 0.002 0.007
3 0.02 0.006 0.014 0.02 0.007 0.012 0.001 0.001 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.016 0.004 0.012 0.016 0.007 0.009
4 0.027 0.008 0.019 0.028 0.009 0.018 0.001 0.001 0. 0.001 0.001 0. 0.002 0. 0.001 0.003 0. 0.003 0.023 0.005 0.018 0.023 0.008 0.014
5 0.069 0.009 0.059 0.074 0.016 0.057 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.066 0.009 0.056 0.07 0.016 0.054
6 0.035 0. 0.035 0.029 0. 0.029 0.002 0. 0.002 0.001 0. 0.001 0.003 0. 0.004 0.001 0. 0.001 0.03 0. 0.029 0.024 0. 0.024
7 0.041 0. 0.041 0.043 0. 0.043 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.037 0. 0.037 0.038 0. 0.038
8 0.049 0. 0.049 0.054 0. 0.053 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.044 0. 0.044 0.048 0. 0.048
9 0.06 0. 0.06 0.066 0. 0.066 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.054 0. 0.054 0.058 0. 0.058
10 0.138 0.028 0.11 0.137 0.016 0.12 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.131 0.028 0.103 0.129 0.016 0.113
11 0.108 0. 0.108 0.097 0. 0.097 0.004 0. 0.004 0.003 0. 0.003 0.006 0. 0.006 0.004 0. 0.004 0.097 0. 0.097 0.088 0. 0.088
12 0.126 0. 0.126 0.121 0. 0.121 0.005 0. 0.005 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.116 0. 0.116 0.112 0. 0.112
13 0.145 0. 0.145 0.146 0. 0.146 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.133 0. 0.133 0.134 0. 0.134
14 0.175 0. 0.175 0.18 0. 0.18 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.162 0. 0.162 0.166 0. 0.166
15 0.225 0. 0.225 0.236 0.004 0.232 0.006 0. 0.006 0.007 0. 0.007 0.008 0. 0.008 0.008 0.003 0.005 0.209 0. 0.209 0.22 0. 0.219
16 0.266 0. 0.265 0.271 0. 0.27 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.009 0. 0.009 0.25 0. 0.249 0.253 0. 0.253
17 0.284 0. 0.284 0.318 0. 0.318 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.266 0. 0.266 0.3 0. 0.3
18 0.353 0. 0.353 0.362 0. 0.362 0.007 0. 0.007 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011 0.335 0. 0.334 0.341 0. 0.341
19 0.399 0. 0.399 0.44 0. 0.439 0.009 0. 0.009 0.01 0. 0.01 0.012 0. 0.012 0.012 0. 0.012 0.376 0. 0.376 0.417 0. 0.416
20 0.447 0. 0.447 0.44 0. 0.439 0.011 0. 0.011 0.01 0. 0.009 0.015 0. 0.015 0.012 0. 0.012 0.42 0. 0.42 0.417 0. 0.417
21 0.53 0. 0.53 0.56 0. 0.56 0.011 0. 0.011 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.503 0. 0.503 0.535 0. 0.535
22 0.609 0.003 0.605 0.646 0. 0.646 0.011 0. 0.011 0.012 0. 0.012 0.015 0. 0.015 0.016 0. 0.016 0.582 0.003 0.578 0.617 0. 0.617
23 0.725 0. 0.725 0.724 0. 0.724 0.014 0. 0.014 0.012 0. 0.012 0.016 0. 0.016 0.017 0. 0.017 0.694 0. 0.693 0.694 0. 0.694
24 0.815 0. 0.815 0.819 0. 0.819 0.017 0. 0.016 0.013 0. 0.013 0.02 0. 0.02 0.018 0. 0.018 0.777 0. 0.777 0.786 0. 0.786
25 0.945 0. 0.945 0.936 0. 0.932 0.014 0. 0.014 0.016 0. 0.012 0.021 0. 0.021 0.022 0. 0.022 0.909 0. 0.909 0.896 0. 0.896
30 1.591 0. 1.589 1.687 0. 1.686 0.02 0. 0.02 0.021 0. 0.021 0.03 0. 0.03 0.034 0. 0.034 1.539 0. 1.538 1.632 0. 1.631
35 2.891 0. 2.89 2.953 0. 2.955 0.027 0. 0.027 0.027 0. 0.027 0.051 0. 0.051 0.056 0. 0.056 2.811 0. 2.81 2.868 0. 2.871
40 4.513 0.008 4.502 4.424 0. 4.419 0.031 0. 0.031 0.034 0. 0.034 0.068 0. 0.068 0.075 0. 0.075 4.413 0.008 4.402 4.314 0. 4.31
45 7.501 0.004 7.496 7.115 0. 7.114 0.043 0. 0.043 0.041 0. 0.041 0.1 0.003 0.096 0.097 0. 0.097 7.356 0. 7.355 6.975 0. 6.974
50 10.792 0.007 10.766 10.455 0.003 10.449 0.052 0. 0.052 0.048 0. 0.048 0.127 0. 0.127 0.123 0. 0.123 10.611 0.007 10.586 10.283 0.003 10.277
