Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.095 secs (0.091u,0.003s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.113 secs (0.113u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.053 secs (0.053u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.057 secs (0.057u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.195 secs (0.187u,0.007s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.104 secs (0.104u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.106 secs (0.105u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.108 secs (0.108u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.366 secs (0.362u,0.004s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.233 secs (0.233u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.229 secs (0.229u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.227 secs (0.227u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.84 secs (0.823u,0.016s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.492 secs (0.492u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.5 secs (0.5u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.501 secs (0.501u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.257 secs (1.236u,0.02s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.968 secs (0.968u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.968 secs (0.968u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.959 secs (0.958u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 2.405 secs (2.404u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.939 secs (1.939u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.938 secs (1.937u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.91 secs (1.909u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 3.973 secs (3.972u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 3.852 secs (3.851u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 3.833 secs (3.824u,0.003s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 3.882 secs (3.885u,0.s) (success)
