param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.002 0.002 0.
2 0. 0. 0. 0.004 0.001 0.002
3 0. 0. 0. 0.006 0. 0.006
4 0. 0. 0. 0.008 0. 0.008
5 0. 0. 0. 0.01 0. 0.01
6 0.001 0. 0.001 0.013 0.004 0.008
7 0. 0. 0. 0.017 0. 0.017
8 0. 0. 0. 0.068 0.008 0.06
9 0. 0. 0. 0.021 0. 0.021
10 0. 0. 0. 0.026 0. 0.026
11 0. 0. 0. 0.03 0. 0.03
12 0. 0. 0. 0.036 0. 0.036
13 0. 0. 0. 0.038 0. 0.038
14 0. 0. 0. 0.046 0. 0.046
15 0. 0. 0. 0.056 0.005 0.051
16 0. 0. 0. 0.056 0.003 0.052
17 0. 0. 0. 0.063 0. 0.063
18 0. 0. 0. 0.078 0. 0.078
19 0. 0. 0. 0.078 0. 0.078
20 0. 0. 0. 0.098 0. 0.098
21 0. 0. 0. 0.103 0. 0.103
22 0. 0. 0. 0.114 0. 0.114
23 0. 0. 0. 0.121 0. 0.121
24 0. 0. 0. 0.139 0. 0.139
25 0.001 0. 0.001 0.162 0. 0.162
26 0. 0. 0. 0.17 0. 0.169
27 0.001 0. 0.001 0.173 0. 0.173
28 0.001 0. 0.001 0.187 0. 0.187
29 0.001 0. 0.001 0.197 0. 0.197
30 0.001 0. 0.001 0.229 0. 0.229
31 0.001 0. 0.001 0.245 0. 0.245
32 0.001 0. 0.001 0.271 0. 0.271
33 0.001 0. 0.001 0.277 0.002 0.275
34 0.001 0. 0.001 0.321 0. 0.32
35 0.001 0. 0.001 0.324 0.007 0.316
36 0.001 0. 0.001 0.356 0. 0.356
37 0.001 0. 0.001 0.366 0. 0.366
38 0.001 0. 0.001 0.409 0.003 0.405
39 0.001 0. 0.001 0.437 0. 0.436
40 0.001 0. 0.001 0.442 0. 0.442
41 0.001 0. 0.001 0.477 0.003 0.473
42 0.001 0. 0.001 0.517 0. 0.517
43 0.001 0. 0.001 0.531 0. 0.531
44 0.001 0. 0.001 0.556 0.003 0.552
45 0.001 0. 0. 0.587 0. 0.586
46 0.001 0. 0.001 0.642 0. 0.645
47 0.001 0. 0.001 0.679 0.003 0.674
48 0.001 0. 0.001 0.728 0. 0.728
49 0.002 0. 0.002 0.78 0.003 0.775
50 0.001 0. 0.001 0.801 0.004 0.797
51 0.001 0. 0.001 0.874 0.004 0.87
52 0.001 0. 0.001 0.883 0. 0.883
53 0.001 0. 0.001 0.923 0. 0.923
54 0.001 0. 0.001 0.975 0. 0.974
55 0.001 0. 0.001 1.014 0. 1.014
56 0.001 0. 0.001 1.091 0. 1.09
57 0.001 0. 0.001 1.154 0. 1.153
58 0.002 0. 0.002 1.218 0.007 1.208
59 0.001 0. 0.001 1.276 0. 1.275
60 0.001 0. 0.001 1.312 0. 1.312
61 0.001 0. 0.001 1.434 0.003 1.43
62 0.001 0. 0.001 1.472 0. 1.471
63 0.001 0. 0.001 1.48 0.003 1.475
64 0.002 0. 0.002 1.598 0.007 1.59
65 0.002 0. 0.002 1.66 0.003 1.655
66 0.002 0. 0.002 1.728 0. 1.727
67 0.002 0.002 0. 1.819 0. 1.818
68 0.002 0. 0.002 1.903 0.001 1.902
69 0.002 0. 0.002 1.998 0. 1.996
70 0.002 0. 0.002 2.097 0.003 2.093
71 0.002 0. 0.002 2.155 0. 2.155
72 0.001 0. 0.001 2.23 0. 2.23
73 0.002 0. 0.002 2.297 0. 2.297
74 0.002 0. 0.002 2.518 0. 2.517
75 0.002 0. 0.002 2.649 0. 2.649
76 0.002 0. 0.002 2.705 0. 2.704
77 0.002 0. 0.002 2.88 0. 2.88
78 0.002 0. 0.002 2.914 0.003 2.91
79 0.002 0. 0.002 3.037 0. 3.036
80 0.002 0. 0.002 3.14 0. 3.14
81 0.002 0. 0.002 3.238 0. 3.237
82 0.002 0. 0.002 3.344 0. 3.343
83 0.002 0. 0.002 3.499 0.007 3.49
84 0.002 0. 0.002 3.671 0. 3.668
85 0.002 0. 0.002 3.748 0. 3.748
86 0.002 0. 0.002 3.865 0.004 3.86
87 0.002 0. 0.002 4.044 0.004 4.04
88 0.002 0. 0.002 4.199 0. 4.198
89 0.002 0. 0.002 4.345 0. 4.344
90 0.002 0. 0.002 4.576 0. 4.575
91 0.002 0. 0.002 4.706 0. 4.705
92 0.002 0. 0.002 4.801 0. 4.8
93 0.002 0. 0.002 5.207 0. 5.204
94 0.002 0. 0.002 5.442 0. 5.441
95 0.004 0. 0.004 5.491 0. 5.49
96 0.003 0. 0.003 5.602 0.007 5.593
97 0.003 0. 0.003 5.817 0. 5.817
98 0.002 0. 0.002 5.939 0. 5.938
99 0.002 0. 0.002 6.084 0. 6.084
100 0.002 0. 0.002 6.254 0. 6.253
110 0.002 0. 0.002 8.585 0.038 8.544
120 0.003 0. 0.003 11.282 0.004 11.274
130 0.003 0. 0.003 14.73 0.023 14.701
140 0.003 0. 0.003 18.87 0.012 18.852
150 0.003 0. 0.003 23.909 0.004 23.899
160 0.004 0. 0.004 30.02 0.012 29.976
170 0.004 0. 0.004 37.157 0.003 37.143
180 0.005 0. 0.005 46.17 0.028 46.135
190 0.005 0. 0.005 56.076 0.012 56.057
200 0.005 0. 0.005 66.757 0.007 66.743
