param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.003 0.003 0.
2 0.001 0. 0.001 0.006 0.004 0.001
3 0. 0. 0. 0.007 0.002 0.004
4 0. 0. 0. 0.01 0.003 0.006
5 0.001 0. 0. 0.011 0.007 0.003
6 0.001 0. 0.001 0.014 0.003 0.01
7 0. 0. 0. 0.071 0.004 0.066
8 0.001 0. 0.001 0.015 0. 0.015
9 0.001 0. 0.001 0.018 0. 0.018
10 0.001 0. 0.001 0.019 0. 0.019
11 0.001 0. 0.001 0.024 0. 0.024
12 0.001 0. 0.001 0.024 0. 0.024
13 0.001 0. 0.001 0.029 0. 0.029
14 0.001 0.001 0. 0.037 0. 0.037
15 0.001 0. 0.001 0.042 0. 0.041
16 0.001 0. 0.001 0.041 0. 0.041
17 0.001 0. 0.001 0.043 0. 0.043
18 0.001 0. 0.001 0.054 0. 0.054
19 0.001 0. 0.001 0.055 0. 0.055
20 0.001 0. 0.001 0.056 0. 0.056
21 0.001 0. 0.001 0.068 0. 0.068
22 0.001 0. 0.001 0.066 0. 0.066
23 0.001 0. 0.001 0.074 0. 0.074
24 0.001 0. 0.001 0.08 0. 0.08
25 0.001 0. 0.001 0.091 0. 0.091
26 0.006 0. 0.006 0.092 0. 0.092
27 0.002 0. 0.002 0.104 0. 0.104
28 0.002 0. 0.002 0.125 0. 0.125
29 0.002 0. 0.002 0.115 0. 0.115
30 0.002 0. 0.002 0.124 0.003 0.12
31 0.002 0. 0.002 0.149 0. 0.149
32 0.002 0. 0.002 0.151 0. 0.151
33 0.002 0. 0.002 0.155 0. 0.154
34 0.002 0. 0.002 0.163 0.003 0.159
35 0.002 0. 0.002 0.17 0.004 0.165
36 0.002 0. 0.002 0.19 0. 0.19
37 0.002 0. 0.002 0.2 0.003 0.196
38 0.002 0. 0.002 0.199 0. 0.199
39 0.002 0. 0.002 0.214 0. 0.213
40 0.002 0. 0.002 0.229 0. 0.228
41 0.002 0. 0.002 0.236 0. 0.236
42 0.002 0. 0.002 0.238 0. 0.238
43 0.002 0. 0.002 0.251 0.003 0.247
44 0.002 0. 0.002 0.274 0. 0.273
45 0.003 0. 0.003 0.29 0.003 0.286
46 0.004 0. 0.004 0.293 0.004 0.289
47 0.003 0. 0.003 0.328 0.003 0.324
48 0.003 0. 0.003 0.338 0. 0.338
49 0.003 0. 0.003 0.347 0. 0.347
50 0.003 0. 0.003 0.364 0.004 0.36
51 0.003 0. 0.003 0.38 0. 0.38
52 0.004 0. 0.004 0.379 0. 0.378
53 0.003 0. 0.003 0.404 0.004 0.4
54 0.003 0. 0.003 0.417 0. 0.417
55 0.003 0. 0.003 0.44 0. 0.439
56 0.003 0. 0.003 0.454 0.004 0.45
57 0.003 0. 0.003 0.461 0. 0.461
58 0.003 0. 0.003 0.484 0. 0.484
59 0.004 0. 0.004 0.521 0. 0.52
60 0.003 0. 0.003 0.548 0.004 0.542
61 0.003 0. 0.003 0.554 0. 0.554
62 0.004 0. 0.003 0.579 0. 0.579
63 0.004 0. 0.004 0.565 0. 0.564
64 0.007 0. 0.007 0.596 0. 0.596
65 0.003 0. 0.003 0.631 0. 0.631
66 0.004 0. 0.004 0.639 0. 0.639
67 0.004 0. 0.004 0.678 0. 0.678
68 0.004 0. 0.004 0.695 0.003 0.691
69 0.004 0. 0.004 0.751 0. 0.751
70 0.004 0. 0.004 0.763 0. 0.763
71 0.004 0. 0.004 0.743 0. 0.743
72 0.004 0. 0.004 0.768 0. 0.768
73 0.004 0. 0.004 0.8 0. 0.8
74 0.004 0. 0.004 0.822 0. 0.822
75 0.004 0. 0.004 0.867 0. 0.867
76 0.006 0. 0.006 0.907 0. 0.907
77 0.005 0. 0.005 0.92 0. 0.92
78 0.005 0. 0.005 0.923 0. 0.923
79 0.006 0. 0.006 0.955 0. 0.955
80 0.005 0. 0.005 0.98 0. 0.98
81 0.005 0. 0.005 0.996 0. 0.995
82 0.005 0. 0.005 1.065 0. 1.065
83 0.007 0. 0.007 1.081 0. 1.08
84 0.005 0. 0.005 1.093 0.003 1.089
85 0.005 0. 0.005 1.123 0. 1.123
86 0.005 0. 0.005 1.165 0.012 1.152
87 0.008 0. 0.008 1.208 0. 1.207
88 0.005 0. 0.005 1.278 0. 1.277
89 0.006 0. 0.006 1.26 0. 1.26
90 0.005 0. 0.005 1.311 0. 1.311
91 0.006 0. 0.006 1.301 0. 1.301
92 0.006 0. 0.006 1.412 0. 1.412
93 0.006 0. 0.006 1.438 0. 1.438
94 0.006 0. 0.006 1.45 0. 1.45
95 0.006 0. 0.006 1.482 0. 1.481
96 0.006 0. 0.006 1.554 0. 1.553
97 0.006 0. 0.006 1.556 0. 1.556
98 0.006 0. 0.006 1.582 0. 1.581
99 0.006 0. 0.006 1.639 0. 1.638
100 0.006 0. 0.006 1.705 0. 1.704
