param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 2 0.001 0. 0. 0. 0. 0. 0. 0. 0.
8 3 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
16 4 0.003 0.001 0.001 0.001 0. 0.001 0.001 0.001 0.
32 5 0.006 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
64 6 0.011 0.007 0.003 0.007 0.003 0.003 0.004 0.004 0.
128 7 0.076 0.009 0.065 0.068 0.003 0.063 0.008 0.005 0.001
256 8 0.042 0. 0.042 0.031 0. 0.031 0.011 0. 0.011
512 9 0.107 0. 0.107 0.085 0. 0.085 0.021 0. 0.021
1024 10 0.23 0. 0.23 0.185 0. 0.185 0.044 0. 0.044
2048 11 0.822 0.012 0.81 0.708 0.012 0.698 0.113 0. 0.111
4096 12 2.843 0.016 2.826 2.59 0.016 2.573 0.242 0. 0.242
8192 13 9.41 0.056 9.353 8.928 0.04 8.887 0.481 0.016 0.465
16384 14 34.122 0.068 34.046 33.122 0.06 33.054 1. 0.008 0.991
