param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
2 0.001 0.001 0. 0.001 0.001 0. 0.003 0. 0.003
10 0.007 0. 0.007 0.009 0. 0.008 0.007 0.007 0.
20 0.018 0. 0.018 0.079 0.015 0.063 0.023 0.007 0.015
30 0.042 0. 0.042 0.04 0. 0.04 0.041 0. 0.041
40 0.074 0. 0.074 0.077 0. 0.077 0.081 0. 0.081
50 0.129 0. 0.129 0.12 0. 0.12 0.186 0.055 0.13
60 0.214 0. 0.214 0.219 0. 0.219 0.221 0. 0.221
70 0.339 0. 0.339 0.309 0. 0.309 0.32 0. 0.32
80 0.492 0. 0.492 0.468 0. 0.468 0.514 0. 0.514
90 0.629 0.003 0.625 0.672 0. 0.672 0.668 0. 0.668
100 0.784 0. 0.784 0.767 0. 0.767 0.785 0. 0.785
110 1.194 0. 1.193 1.139 0. 1.139 1.156 0.003 1.152
120 1.521 0. 1.52 1.487 0. 1.487 1.485 0. 1.484
130 2.073 0. 2.073 1.812 0. 1.812 1.821 0. 1.82
140 2.252 0. 2.252 2.207 0. 2.207 2.426 0. 2.425
150 2.694 0.004 2.689 2.619 0.004 2.614 2.593 0.002 2.59
160 3.508 0. 3.508 3.507 0. 3.507 3.611 0. 3.611
170 4.177 0. 4.176 4.078 0. 4.077 4.317 0. 4.316
180 4.506 0. 4.505 4.984 0. 4.983 4.911 0.003 4.907
190 5.808 0. 5.807 5.512 0. 5.511 5.352 0.003 5.347
200 6.45 0.012 6.435 6.279 0.007 6.271 6.269 0. 6.268
