param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user noop-try-setoid-rewrite-regression-cubic-real noop-try-setoid-rewrite-regression-cubic-sys noop-try-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.002 0. 0.001 0. 0. 0. 0.005 0.005 0. 0. 0. 0. 0.002 0.002 0. 0.001 0. 0.001
1 0.003 0. 0.003 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.004 0. 0.004 0.002 0. 0.002
2 0.005 0. 0.005 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.005 0.002 0.003 0.004 0. 0.004
10 0.032 0.009 0.022 0.008 0. 0.006 0.008 0.004 0.004 0.008 0.008 0. 0.026 0.004 0.021 0.023 0.007 0.015
20 0.117 0.024 0.096 0.015 0. 0.015 0.035 0. 0.034 0.024 0.016 0.008 0.119 0.011 0.106 0.102 0.024 0.08
30 0.113 0. 0.113 0.031 0. 0.031 0.045 0. 0.045 0.105 0.031 0.074 0.126 0.005 0.121 0.081 0. 0.081
40 0.238 0.003 0.234 0.062 0. 0.062 0.106 0. 0.106 0.086 0. 0.086 0.227 0. 0.227 0.175 0.003 0.172
50 0.43 0.035 0.394 0.095 0.003 0.091 0.181 0. 0.18 0.232 0.024 0.208 0.511 0.023 0.486 0.334 0.031 0.303
60 0.505 0. 0.505 0.131 0. 0.131 0.3 0. 0.3 0.243 0. 0.243 0.696 0. 0.697 0.373 0. 0.373
70 0.812 0.015 0.793 0.174 0. 0.174 0.394 0. 0.394 0.412 0. 0.411 1.021 0.003 1.017 0.637 0.015 0.618
80 0.99 0. 0.99 0.184 0. 0.184 0.599 0. 0.598 0.576 0. 0.576 1.418 0. 1.418 0.805 0. 0.805
90 1.305 0. 1.304 0.275 0. 0.275 0.794 0. 0.794 0.745 0. 0.745 1.787 0.003 1.784 1.028 0. 1.028
100 1.703 0.032 1.667 0.328 0. 0.328 1.035 0. 1.035 1.016 0.004 1.01 2.339 0.004 2.334 1.374 0.032 1.338
110 2.137 0.007 2.129 0.365 0. 0.365 1.404 0.003 1.4 1.329 0. 1.329 3.101 0. 3.099 1.771 0.007 1.763
120 2.58 0.008 2.571 0.431 0. 0.431 1.777 0. 1.776 1.697 0. 1.697 3.769 0.011 3.756 2.148 0.007 2.139
130 3.001 0.004 2.997 0.43 0. 0.43 2.156 0. 2.156 2.179 0. 2.178 4.677 0.003 4.671 2.57 0.004 2.566
140 3.758 0.004 3.753 0.54 0. 0.539 2.794 0. 2.793 2.727 0.003 2.723 5.913 0.008 5.904 3.217 0.003 3.213
150 4.671 0.003 4.667 0.597 0. 0.597 3.358 0. 3.357 3.358 0. 3.357 7.306 0.012 7.284 4.073 0.003 4.069
160 5.7 0.011 5.687 0.737 0. 0.737 4.182 0. 4.181 4.011 0. 4.01 8.851 0.016 8.833 4.961 0.011 4.949
170 6.509 0.015 6.493 0.767 0. 0.767 4.744 0. 4.743 4.764 0. 4.762 10.132 0.012 10.118 5.741 0.015 5.724
180 7.241 0.012 7.227 0.949 0. 0.949 5.881 0. 5.879 5.715 0.007 5.703 12.322 0.003 12.314 6.29 0.012 6.276
190 8.285 0.008 8.276 0.95 0.004 0.946 6.661 0. 6.659 6.96 0.012 6.944 14.022 0. 14.019 7.333 0.004 7.329
200 9.718 0.02 9.696 1.058 0. 1.058 8.161 0. 8.16 7.866 0. 7.864 16.184 0.016 16.164 8.659 0.02 8.636
210 11.226 0.016 11.209 1.127 0.004 1.123 8.944 0. 8.942 9.257 0.004 9.252 18.597 0.003 18.588 10.092 0.012 10.079
220 12.401 0.02 12.377 1.249 0. 1.249 10.324 0.004 10.31 10.64 0.004 10.634 21.549 0. 21.544 11.15 0.02 11.126
230 14.02 0. 14.019 1.332 0. 1.332 12.174 0.004 12.167 12.455 0.004 12.449 24.893 0.008 24.877 12.686 0. 12.685
240 15.758 0. 15.756 1.443 0. 1.442 13.704 0.004 13.691 13.951 0.004 13.944 28.431 0.02 28.404 14.313 0. 14.312
250 18.265 0.007 18.256 1.729 0. 1.729 15.822 0.02 15.798 16.222 0.016 16.201 31.847 0.008 31.828 16.535 0.007 16.525
300 30.088 0.024 30.057 2.312 0. 2.312 27.92 0.008 27.9 27.966 0.02 27.942 56.518 0.024 56.481 27.775 0.024 27.744
400 70.589 0.056 70.514 3.993 0. 3.992 66.102 0.052 66.037 66.632 0.028 66.592 136.864 0.112 136.725 66.594 0.056 66.52
