param-0-n param-1-lgn try-ssr-rewrite!-cold-noop-regression-linear-real try-ssr-rewrite!-cold-noop-regression-linear-sys try-ssr-rewrite!-cold-noop-regression-linear-user try-ssr-rewrite!-noop-regression-linear-real try-ssr-rewrite!-noop-regression-linear-sys try-ssr-rewrite!-noop-regression-linear-user try-ssr-rewrite-noop-regression-linear-real try-ssr-rewrite-noop-regression-linear-sys try-ssr-rewrite-noop-regression-linear-user try-ssr-rewrite?-noop-regression-linear-real try-ssr-rewrite?-noop-regression-linear-sys try-ssr-rewrite?-noop-regression-linear-user
3 1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
31 4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
63 5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
127 6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
255 7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
511 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1023 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2047 10 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
4095 11 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
8191 12 0.003 0. 0.003 0.003 0. 0.003 0.005 0. 0.005 0.004 0. 0.004
16383 13 0.006 0. 0.006 0.009 0. 0.009 0.005 0. 0.005 0.005 0. 0.005
32767 14 0.011 0. 0.011 0.015 0. 0.015 0.012 0. 0.012 0.011 0. 0.011
65535 15 0.029 0. 0.029 0.05 0. 0.05 0.043 0.003 0.04 0.027 0. 0.027
131071 16 0.145 0. 0.144 0.053 0. 0.053 0.055 0. 0.055 0.053 0. 0.053
262143 17 0.204 0.007 0.196 0.11 0. 0.109 0.112 0. 0.112 0.115 0. 0.115
524287 18 0.376 0.024 0.351 0.237 0. 0.237 0.216 0.003 0.212 0.219 0. 0.219
1048575 19 0.673 0.04 0.633 0.462 0. 0.462 0.455 0. 0.455 0.477 0. 0.477
2097151 20 1.134 0.027 1.106 0.902 0. 0.902 0.897 0. 0.897 0.928 0. 0.928
4194303 21 2.178 0. 2.177 1.859 0. 1.859 1.821 0. 1.821 1.805 0. 1.805
8388607 22 3.873 0. 3.872 3.571 0. 3.571 3.603 0. 3.603 3.532 0.003 3.528
