param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
0 0.004 0. 0.004 0.005 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
1 0.008 0.008 0. 0.009 0.002 0.007 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0.006 0.006 0. 0.007 0. 0.007
2 0.013 0.006 0.007 0.016 0.005 0.011 0.001 0.001 0. 0.001 0. 0.001 0.001 0.001 0. 0.001 0. 0.001 0.011 0.003 0.007 0.013 0.005 0.007
3 0.021 0.012 0.008 0.019 0.007 0.011 0.001 0. 0.001 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.017 0.011 0.006 0.016 0.006 0.009
4 0.082 0.011 0.07 0.076 0.011 0.065 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0.079 0.01 0.068 0.073 0.01 0.062
5 0.027 0. 0.027 0.024 0. 0.024 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001 0.023 0. 0.023 0.021 0. 0.021
6 0.036 0. 0.036 0.032 0. 0.032 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.001 0. 0.001 0.03 0. 0.03 0.026 0. 0.026
7 0.045 0. 0.045 0.04 0. 0.04 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.039 0. 0.039 0.035 0. 0.035
8 0.054 0. 0.054 0.06 0. 0.06 0.002 0. 0.002 0.003 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.048 0. 0.048 0.053 0. 0.053
9 0.067 0. 0.067 0.071 0. 0.071 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.06 0. 0.06 0.063 0. 0.063
10 0.155 0.014 0.141 0.159 0.016 0.142 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.147 0.013 0.133 0.15 0.016 0.133
11 0.103 0. 0.103 0.098 0. 0.098 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.093 0. 0.093 0.089 0. 0.089
