param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.002 0. 0.002
2 0. 0. 0. 0.004 0. 0.004
3 0. 0. 0. 0.005 0.004 0.001
4 0. 0. 0. 0.007 0.003 0.003
5 0.004 0. 0.004 0.009 0.003 0.006
6 0. 0. 0. 0.012 0.004 0.004
7 0. 0. 0. 0.074 0.02 0.057
8 0. 0. 0. 0.013 0. 0.013
9 0. 0. 0. 0.016 0. 0.016
10 0. 0. 0. 0.019 0. 0.019
11 0. 0. 0. 0.02 0. 0.02
12 0. 0. 0. 0.024 0. 0.024
13 0. 0. 0. 0.026 0. 0.026
14 0.002 0. 0.002 0.029 0.001 0.027
15 0. 0. 0. 0.033 0. 0.033
16 0. 0. 0. 0.037 0. 0.037
17 0. 0. 0. 0.043 0. 0.043
18 0.001 0. 0.001 0.047 0. 0.047
19 0.001 0. 0.001 0.051 0. 0.051
20 0.001 0. 0.001 0.057 0. 0.057
21 0.001 0. 0.001 0.066 0. 0.066
22 0.001 0. 0.001 0.07 0. 0.07
23 0.001 0. 0.001 0.081 0. 0.081
24 0.001 0. 0.001 0.083 0. 0.083
25 0.001 0. 0.001 0.094 0. 0.094
26 0.001 0. 0.001 0.1 0. 0.1
27 0.001 0. 0.001 0.114 0. 0.114
28 0.001 0. 0.001 0.119 0. 0.119
29 0.005 0. 0.005 0.121 0. 0.121
30 0.001 0. 0.001 0.132 0. 0.132
31 0.001 0. 0.001 0.152 0. 0.152
32 0.001 0. 0.001 0.169 0. 0.169
33 0.001 0. 0.001 0.179 0.001 0.178
34 0.001 0. 0.001 0.19 0. 0.19
35 0.001 0. 0.001 0.201 0.003 0.197
36 0.001 0. 0.001 0.222 0.004 0.218
37 0.001 0. 0.001 0.217 0. 0.217
38 0.001 0. 0.001 0.238 0. 0.238
39 0.001 0. 0.001 0.256 0. 0.256
40 0.001 0. 0.001 0.263 0. 0.263
41 0.001 0. 0.001 0.285 0. 0.285
42 0.001 0. 0.001 0.303 0. 0.303
43 0.001 0. 0.001 0.309 0. 0.309
44 0.001 0. 0.001 0.33 0. 0.33
45 0.001 0. 0.001 0.359 0. 0.359
46 0.001 0. 0.001 0.384 0. 0.384
47 0.002 0. 0.002 0.389 0. 0.389
48 0.002 0. 0.002 0.423 0. 0.423
49 0.002 0. 0.002 0.456 0.003 0.453
50 0.002 0. 0.002 0.473 0. 0.473
51 0.002 0. 0.002 0.511 0. 0.511
52 0.002 0. 0.002 0.529 0. 0.528
53 0.002 0. 0.002 0.547 0. 0.547
54 0.002 0. 0.002 0.551 0. 0.551
55 0.002 0. 0.002 0.585 0.007 0.577
56 0.003 0. 0.003 0.614 0.003 0.609
57 0.002 0. 0.002 0.649 0.003 0.645
58 0.002 0. 0.002 0.679 0.004 0.675
59 0.002 0. 0.002 0.703 0. 0.702
60 0.002 0. 0.002 0.745 0. 0.745
61 0.002 0. 0.002 0.792 0.003 0.788
62 0.002 0. 0.002 0.829 0. 0.829
63 0.002 0. 0.002 0.88 0. 0.879
64 0.002 0. 0.002 0.891 0. 0.891
65 0.002 0. 0.002 0.951 0. 0.95
66 0.002 0. 0.002 0.95 0. 0.949
67 0.002 0. 0.002 1.001 0. 1.
68 0.002 0. 0.002 1.043 0. 1.042
69 0.002 0. 0.002 1.082 0. 1.082
70 0.003 0. 0.003 1.14 0. 1.14
71 0.003 0. 0.003 1.206 0. 1.206
72 0.003 0. 0.003 1.275 0. 1.268
73 0.003 0. 0.003 1.316 0. 1.315
74 0.003 0. 0.003 1.329 0.003 1.325
75 0.003 0. 0.003 1.413 0.004 1.408
76 0.003 0. 0.003 1.436 0.007 1.428
77 0.003 0. 0.003 1.487 0. 1.487
78 0.003 0. 0.003 1.556 0. 1.556
79 0.003 0. 0.003 1.656 0.004 1.651
80 0.003 0. 0.003 1.699 0. 1.699
81 0.003 0. 0.003 1.723 0. 1.723
82 0.003 0. 0.003 1.778 0. 1.778
83 0.003 0. 0.003 1.85 0. 1.85
84 0.003 0. 0.003 1.911 0.003 1.907
85 0.003 0. 0. 1.996 0. 1.995
86 0.003 0. 0.003 2.129 0. 2.135
87 0.003 0. 0.003 2.137 0. 2.137
88 0.003 0. 0.003 2.186 0. 2.186
89 0.003 0. 0.003 2.268 0. 2.267
90 0.003 0. 0.003 2.361 0. 2.361
91 0.003 0. 0.003 2.439 0. 2.439
92 0.005 0. 0.005 2.577 0.011 2.563
93 0.003 0. 0.003 2.606 0. 2.606
94 0.003 0. 0.003 2.707 0. 2.707
95 0.003 0. 0.003 2.797 0. 2.797
96 0.004 0. 0.004 2.896 0. 2.896
97 0.004 0. 0.004 2.987 0. 2.987
98 0.004 0. 0.004 3.054 0. 3.053
99 0.004 0. 0.004 3.127 0. 3.127
100 0.004 0. 0.004 3.237 0. 3.237
