param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.003 0. 0.003
2 0.001 0. 0.001 0.005 0. 0.004
3 0.001 0. 0. 0.007 0.002 0.004
4 0. 0. 0. 0.01 0.001 0.002
5 0.001 0. 0. 0.012 0.005 0.015
6 0.001 0. 0.001 0.069 0.012 0.057
7 0.001 0. 0.001 0.012 0. 0.012
8 0.001 0. 0.001 0.014 0. 0.014
9 0.001 0. 0.001 0.016 0. 0.016
10 0.001 0. 0.001 0.02 0. 0.02
11 0.001 0. 0.001 0.023 0. 0.023
12 0.001 0. 0.001 0.025 0. 0.025
13 0.001 0. 0.001 0.029 0.002 0.027
14 0.001 0. 0.001 0.031 0. 0.031
15 0.001 0. 0.001 0.034 0. 0.034
16 0.001 0. 0.001 0.038 0. 0.038
17 0.002 0. 0.002 0.043 0. 0.043
18 0.002 0. 0.002 0.048 0. 0.048
19 0.002 0. 0.001 0.052 0.002 0.049
20 0.002 0. 0.002 0.059 0. 0.059
21 0.002 0. 0.002 0.063 0. 0.063
22 0.011 0. 0.011 0.064 0. 0.064
23 0.002 0. 0.002 0.07 0. 0.07
24 0.003 0. 0.003 0.075 0. 0.075
25 0.002 0. 0.002 0.084 0. 0.084
26 0.002 0. 0.002 0.095 0. 0.095
27 0.003 0. 0.003 0.095 0. 0.095
28 0.003 0. 0.003 0.103 0. 0.103
29 0.003 0. 0.003 0.105 0. 0.105
30 0.003 0. 0.003 0.113 0. 0.113
31 0.003 0. 0.003 0.128 0. 0.128
32 0.003 0. 0.003 0.143 0. 0.143
33 0.003 0. 0.003 0.156 0. 0.156
34 0.003 0. 0.003 0.16 0. 0.16
35 0.003 0. 0.003 0.15 0. 0.15
36 0.003 0. 0.003 0.17 0. 0.17
37 0.003 0. 0.003 0.195 0.005 0.189
38 0.004 0. 0.004 0.2 0. 0.2
39 0.004 0. 0.004 0.209 0. 0.208
40 0.004 0. 0.004 0.197 0. 0.197
41 0.004 0. 0.004 0.218 0. 0.218
42 0.004 0. 0.004 0.232 0.003 0.229
43 0.004 0. 0.004 0.239 0. 0.239
44 0.004 0. 0.004 0.252 0.003 0.248
45 0.004 0. 0.004 0.259 0.003 0.255
46 0.004 0. 0.004 0.273 0. 0.273
47 0.004 0. 0.004 0.284 0. 0.283
48 0.004 0. 0.004 0.297 0.007 0.289
49 0.005 0. 0.005 0.329 0. 0.329
50 0.005 0. 0.005 0.334 0.008 0.326
51 0.009 0. 0.009 0.342 0. 0.342
52 0.005 0. 0.005 0.367 0. 0.367
53 0.005 0. 0.005 0.383 0. 0.383
54 0.005 0. 0.005 0.388 0.003 0.384
55 0.005 0. 0.005 0.385 0.003 0.381
56 0.005 0. 0.005 0.408 0. 0.408
57 0.005 0. 0.005 0.426 0. 0.425
58 0.005 0. 0.005 0.447 0. 0.447
59 0.005 0. 0.005 0.455 0. 0.455
60 0.005 0. 0.005 0.463 0.003 0.46
61 0.005 0. 0.005 0.518 0. 0.518
62 0.006 0. 0.006 0.521 0. 0.521
63 0.006 0. 0.006 0.544 0. 0.544
64 0.006 0. 0.006 0.555 0. 0.555
65 0.006 0. 0.006 0.573 0.007 0.564
66 0.006 0. 0.006 0.59 0.012 0.578
67 0.006 0. 0.006 0.602 0.004 0.598
68 0.006 0. 0.006 0.615 0. 0.615
69 0.006 0. 0.006 0.858 0. 0.858
70 0.006 0. 0.006 0.694 0. 0.694
71 0.006 0. 0.006 0.723 0. 0.723
72 0.006 0. 0.006 0.718 0. 0.718
73 0.006 0. 0.006 0.703 0. 0.703
74 0.006 0. 0.006 0.735 0. 0.735
75 0.007 0. 0.006 0.744 0. 0.744
76 0.007 0. 0.007 0.779 0. 0.779
77 0.007 0. 0.007 0.851 0. 0.851
78 0.007 0. 0.007 0.887 0. 0.887
79 0.007 0. 0.007 0.876 0. 0.876
80 0.007 0. 0.007 0.892 0. 0.892
81 0.007 0. 0.007 0.914 0. 0.914
82 0.007 0. 0.007 0.931 0. 0.931
83 0.007 0. 0.007 0.994 0. 0.994
84 0.008 0. 0.008 1.048 0. 1.048
85 0.008 0. 0.007 1.021 0. 1.021
86 0.007 0. 0.007 1.039 0. 1.04
87 0.007 0. 0.007 1.082 0. 1.082
88 0.008 0. 0.008 1.13 0. 1.13
89 0.008 0. 0.008 1.201 0. 1.2
90 0.008 0. 0.008 1.169 0. 1.169
91 0.008 0. 0.008 1.202 0. 1.201
92 0.008 0. 0.008 1.232 0. 1.232
93 0.008 0. 0.008 1.31 0. 1.31
94 0.008 0. 0.008 1.338 0. 1.338
95 0.008 0. 0.008 1.319 0.003 1.316
96 0.008 0. 0.008 1.34 0. 1.34
97 0.009 0. 0.009 1.426 0. 1.425
98 0.008 0. 0.008 1.438 0. 1.438
99 0.009 0. 0.009 1.455 0. 1.455
100 0.009 0. 0.009 1.525 0. 1.525
